שם,סוג,מספר תושבים,שטח,דירוג צפיפות,מדד גיני
ירושלים,עירייה,985124,126020,7817,0.43
תל אביב -יפו,עירייה,474738,51730,9177,0.47
חיפה,עירייה,292105,65560,4456,0.47
ראשון לציון,עירייה,261345,59340,4404,0.42
פתח תקווה,עירייה,255585,35850,7129,0.43
נתניה,עירייה,234753,30880,7602,0.43
אשדוד,עירייה,227262,47040,4831,0.41
בני ברק,עירייה,218862,7350,29777,0.41
באר שבע,עירייה,214769,117270,1831,0.42
חולון,עירייה,197886,19050,10388,0.41
רמת גן,עירייה,172798,16370,10556,0.45
בית שמש,עירייה,158505,38400,4128,0.44
אשקלון,עירייה,154769,45180,3426,0.4
רחובות,עירייה,151435,23730,6382,0.44
בת ים,עירייה,128396,8180,15696,0.37
הרצליה,עירייה,107191,21670,4947,0.49
חדרה,עירייה,103728,50950,2036,0.41
כפר סבא,עירייה,101666,14530,6997,0.46
מודיעין-מכבים-רעות,עירייה,100569,48290,2083,0.45
לוד,עירייה,86108,14800,5818,0.37
מודיעין עילית,עירייה,84592,4070,20784,0.39
רעננה,עירייה,80763,14810,5453,0.49
רהט,עירייה,79988,32340,2473,0.34
רמלה,עירייה,79376,11990,6620,0.35
נצרת,עירייה,77981,14240,5476,0.39
מועצה אזורית מטה בנימין,מועצה אזורית,77044,,,0.45
ראש העין,עירייה,74549,15870,4697,0.42
הוד השרון,עירייה,65761,19340,3400,0.49
קריית גת,עירייה,65748,15900,4135,0.37
ביתר עילית,עירייה,64986,4730,13739,0.38
נהריה,עירייה,64793,11470,5649,0.41
מועצה אזורית מטה יהודה,מועצה אזורית,63215,479360,132,0.43
עפולה,עירייה,62244,29200,2132,0.39
גבעתיים,עירייה,61945,3230,19178,0.44
קריית אתא,עירייה,61424,17440,3522,0.41
אום אל-פחם,עירייה,59099,25930,2279,0.38
יבנה,עירייה,56850,29140,1951,0.42
אילת,עירייה,53378,98620,541,0.36
עכו,עירייה,51888,14840,3496,0.38
נס ציונה,עירייה,50426,15660,3220,0.44
אלעד,עירייה,50099,3500,14314,0.41
טבריה,עירייה,49152,16220,3030,0.4
קריית מוצקין,עירייה,48429,3830,12645,0.42
נתיבות,עירייה,48261,16290,2963,0.38
רמת השרון,עירייה,48211,16600,2904,0.51
כרמיאל,עירייה,47644,22080,2158,0.4
טייבה,עירייה,46312,18890,2452,0.37
